accession,description,seq_length
NC_011346.1,"NC_011346.1 Clerodendrum golden mosaic China virus DNA A, complete genome",2776
NC_011347.1,"NC_011347.1 Clerodendrum golden mosaic China virus DNA B, complete genome",2739
NC_011348.1,"NC_011348.1 Tomato yellow leaf distortion virus DNA A, complete genome",2630
NC_011349.1,"NC_011349.1 Seneca valley virus, complete genome",7310
NC_011362.1,"NC_011362.1 Mulberry small circular viroid-like RNA 1, complete genome",356
NC_011373.1,"NC_011373.1 Pseudomonas phage PAJU2, complete genome",46872
NC_011398.1,"NC_011398.1 Clostridioides phage phiCD27, complete genome",50930
NC_011399.1,"NC_011399.1 Ralstonia phage RSM3 DNA, complete genome",8929
NC_011400.1,"NC_011400.1 Astrovirus MLB1, complete genome",6171
NC_011421.1,"NC_011421.1 Bacillus phage SPO1, complete genome",132562
NC_011423.1,"NC_011423.1 Adoxophyes orana nucleopolyhedrovirus, complete genome",111724
NC_011500.2,"NC_011500.2 Rotavirus A segment 5, complete genome",1614
NC_011501.2,"NC_011501.2 Rotavirus A segment 7, complete genome",1105
NC_011502.2,"NC_011502.2 Rotavirus A segment 8, complete genome",1059
NC_011503.2,"NC_011503.2 Rotavirus A segment 9, complete genome",1062
NC_011504.2,"NC_011504.2 Rotavirus A segment 10, complete genome",751
NC_011505.2,"NC_011505.2 Rotavirus A segment 11, complete genome",667
NC_011506.2,"NC_011506.2 Rotavirus A segment 2, complete genome",2693
NC_011507.2,"NC_011507.2 Rotavirus A segment 1, complete genome",3302
NC_011508.2,"NC_011508.2 Rotavirus A segment 3, complete genome",2591
NC_011509.2,"NC_011509.2 Rotavirus A segment 6, complete genome",1356
NC_011510.2,"NC_011510.2 Rotavirus A segment 4, complete genome",2362
NC_011515.1,"NC_011515.1 Carrot mottle virus isolate Weddel, complete genome",4193
NC_011523.1,"NC_011523.1 Bacillus phage AP50, complete genome",14398
NC_011525.1,"NC_011525.1 Potato latent virus, complete genome",7890
NC_011530.1,"NC_011530.1 Caretta caretta papillomavirus 1, complete genome",7020
NC_011532.1,"NC_011532.1 Lettuce yellow mottle virus, complete genome",12926
NC_011534.1,"NC_011534.1 Kluyvera phage Kvp1, complete genome",39472
NC_011535.1,"NC_011535.1 Grapevine Algerian latent virus, complete genome",4731
NC_011536.1,"NC_011536.1 Imperata yellow mottle virus, complete genome",4547
NC_011537.1,"NC_011537.1 Scrophularia mottle virus, complete genome",6206
NC_011538.1,"NC_011538.1 Nemesia ring necrosis virus, complete genome",6285
NC_011539.1,"NC_011539.1 Plantago mottle virus, complete genome",6154
NC_011540.1,"NC_011540.1 Hippeastrum latent virus, complete genome",8500
NC_011541.1,"NC_011541.1 Narcissus yellow stripe virus, complete genome",9650
NC_011543.1,"NC_011543.1 Poinsettia cryptic virus, complete genome",4652
NC_011544.1,"NC_011544.1 Hosta virus X, complete genome",6528
NC_011545.2,"NC_011545.2 Penaeus monodon hepandensovirus 4, complete genome",6310
NC_011546.1,"NC_011546.1 Simian T-cell lymphotropic virus 6 strain Cmo8699AB, complete genome",8913
NC_011547.1,"NC_011547.1 Bulbul coronavirus HKU11-934, complete genome",26487
NC_011549.1,"NC_011549.1 Thrush coronavirus HKU12-600, complete genome",26396
NC_011550.1,"NC_011550.1 Munia coronavirus HKU13-3514, complete genome",26552
NC_011551.1,"NC_011551.1 Bacteriophage APSE-2, complete genome",39867
NC_011552.1,"NC_011552.1 Peach mosaic virus, complete genome",7988
NC_011553.1,"NC_011553.1 Blackberry chlorotic ringspot virus RNA1, complete genome",3478
NC_011554.1,"NC_011554.1 Blackberry chlorotic ringspot virus RNA2, complete genome",2879
NC_011556.1,"NC_011556.1 Beet cryptic virus 1 RNA 1, complete genome",2008
NC_011557.1,"NC_011557.1 Beet cryptic virus 1 RNA 2, complete genome",1783
NC_011558.1,"NC_011558.1 Lettuce big-vein associated virus RNA 1, complete genome",6797
NC_011559.1,"NC_011559.1 Anagyris vein yellowing virus, complete genome",6151
NC_011560.1,"NC_011560.1 Zantedeschia mild mosaic virus, complete genome",9973
NC_011568.1,"NC_011568.1 Lettuce big-vein associated virus segment 2, complete genome",6081
NC_011583.1,"NC_011583.1 East African cassava mosaic Kenya virus DNA A, complete genome",2797
NC_011584.1,"NC_011584.1 East African cassava mosaic Kenya virus DNA B, complete genome",2776
NC_011588.1,"NC_011588.1 Oryctes rhinoceros virus, complete genome",127615
NC_011589.1,"NC_011589.1 Stenotrophomonas phage S1, complete genome",40287
NC_011590.1,"NC_011590.1 Pepper chat fruit viroid, complete genome",348
NC_011591.1,"NC_011591.1 Southern tomato virus, complete genome",3437
NC_011592.1,"NC_011592.1 Bougainvillea spectabilis chlorotic vein-banding virus, complete genome",8759
NC_011611.1,"NC_011611.1 Pseudomonas phage MP38, complete genome",36885
NC_011612.1,"NC_011612.1 Staphylococcus phage phiSauS-IPLA35, complete genome",45344
NC_011613.1,"NC_011613.1 Pseudomonas phage MP29, complete genome",36632
NC_011614.1,"NC_011614.1 Staphylococcus phage phiSauS-IPLA88, complete genome",42526
NC_011616.1,"NC_011616.1 Spodoptera litura nucleopolyhedrovirus II, complete genome",148634
NC_011620.1,"NC_011620.1 Potato virus X, complete genome",6435
NC_011639.1,"NC_011639.1 Wongabel virus, complete genome",13196
NC_011643.1,"NC_011643.1 Soybean yellow mottle mosaic virus, complete genome",4009
NC_011644.1,"NC_011644.1 Equid herpesvirus 9, complete genome",148371
NC_011645.1,"NC_011645.1 Bacillus phage TP21-L, complete genome",37456
NC_011646.1,"NC_011646.1 Abalone shriveling syndrome-associated virus, complete genome",34952
NC_011659.1,"NC_011659.1 Schlumbergera virus X, complete genome",6633
NC_011702.1,"NC_011702.1 Grapevine leafroll-associated virus 10, complete genome, genomic RNA",13696
NC_011703.1,"NC_011703.1 Pseudomonas phage 14-1, complete genome",66235
NC_011704.1,"NC_011704.1 Rabbit calicivirus Australia 1 MIC-07, complete genome",7422
NC_011705.1,"NC_011705.1 Raphanus sativus cryptic virus 3 segment 1, complete genome",1609
NC_011706.1,"NC_011706.1 Raphanus sativus cryptic virus 3 segment 2, complete genome",1581
NC_011756.1,"NC_011756.1 Pseudomonas phage SN, complete genome",66390
NC_011765.1,"NC_011765.1 European hedgehog papillomavirus, complete genome",8256
NC_011800.1,"NC_011800.1 Human T-lymphotropic virus 4, complete genome",8791
NC_011801.1,"NC_011801.1 Lactobacillus phage Lv-1, complete genome",38934
NC_011802.1,"NC_011802.1 Salmonella enterica bacteriophage SE1, complete genome",41941
NC_011803.1,"NC_011803.1 Cactus mild mottle virus, complete genome",6449
NC_011804.1,"NC_011804.1 Gossypium darwinii symptomless virus DNA-A, complete genome",2740
NC_011805.1,"NC_011805.1 Gossypium punctatum mild leaf curl virus DNA A, complete genome",2737
NC_011807.1,"NC_011807.1 Asparagus virus 2 RNA 3, complete genome",2307
NC_011808.1,"NC_011808.1 Asparagus virus 2 RNA 1, complete genome",3431
NC_011809.1,"NC_011809.1 Asparagus virus 2 RNA 2, complete genome",2916
NC_011810.1,"NC_011810.1 Pseudomonas phage PB1, complete genome",65764
NC_011811.1,"NC_011811.1 Erwinia phage phiEa21-4, complete genome",84576
NC_011829.1,"NC_011829.1 Porcine kobuvirus swine/S-1-HUN/2007/Hungary, complete genome",8210
NC_011918.1,"NC_011918.1 Pepper veinal mottle virus, complete genome",9792
NC_011919.1,"NC_011919.1 Bhendi yellow vein Delhi virus [2004:New Delhi] DNA-A, complete genome",2751
NC_011920.1,"NC_011920.1 Rudbeckia flower distortion virus, complete genome",8222
NC_011976.1,"NC_011976.1 Salmonella phage epsilon34, complete genome",43016
NC_012027.1,"NC_012027.1 Mycobacterium phage Phlyer, complete genome",69378
NC_012038.1,"NC_012038.1 Helleborus net necrosis virus, complete genome",8542
NC_012041.1,"NC_012041.1 Bhendi yellow vein Bhubhaneswar virus DNA-A, complete genome",2757
NC_012042.1,"NC_012042.1 Human bocavirus 2c PK isolate PK-5510, complete genome",5196
NC_012094.1,"NC_012094.1 Sea Turtle Tornovirus 1 pop-variant STTV1-GA1, complete genome",1898
NC_012118.1,"NC_012118.1 Pedilanthus leaf curl virus-Pedilanthus [Pakistan:Multan:2004], complete genome",2764
NC_012120.1,"NC_012120.1 Gossypium punctatum mild leaf curl virus DNA B, complete genome",2725
NC_012123.1,"NC_012123.1 Equine papillomavirus 2, complete genome",7802
NC_012126.1,"NC_012126.1 California sea lion anellovirus, complete genome",2140
NC_012127.1,"NC_012127.1 Coleus blumei viroid 5, complete genome",274
NC_012135.1,"NC_012135.1 Gayfeather mild mottle virus RNA 2, complete genome",2935
NC_012137.1,"NC_012137.1 Cotton leaf curl Burewala virus - [India:Vehari:2004], complete genome",2759
NC_012206.1,"NC_012206.1 Tomato leaf curl Nigeria virus-[Nigeria:2006], complete genome",2784
NC_012210.1,"NC_012210.1 Red clover vein mosaic virus, complete genome",8604
NC_012211.2,"NC_012211.2 Allium virus X, complete genome",7118
NC_012212.1,"NC_012212.1 Chaetoceros socialis f. radians RNA virus segment 1, complete genome",9467
NC_012213.1,"NC_012213.1 Human papillomavirus type 108, complete genome",7149
NC_012223.2,"NC_012223.2 Escherichia phage SSL-2009a, complete genome",44899
NC_012418.1,"NC_012418.1 Pseudomonas phage phikF77, complete genome",43152
NC_012419.1,"NC_012419.1 Enterococcus phage EFAP-1, complete genome",21115
NC_012437.1,"NC_012437.1 Duck astrovirus C-NGB, complete genome",7722
NC_012481.1,"NC_012481.1 Rhynchosia golden mosaic Yucatan virus DNA A, complete genome",2597
NC_012482.1,"NC_012482.1 Rhynchosia golden mosaic Yucatan virus DNA B, complete genome",2542
NC_012484.1,"NC_012484.1 Grapevine Syrah Virus-1, complete genome",6506
NC_012485.1,"NC_012485.1 Human papillomavirus type 109, complete genome",7346
NC_012486.1,"NC_012486.1 Human papillomavirus type 112, complete genome",7227
NC_012492.1,"NC_012492.1 Tomato leaf curl Patna virus DNA-A, complete genome",2752
NC_012493.1,"NC_012493.1 Tomato leaf curl Patna betasatellite, complete genome",1349
NC_012519.1,"NC_012519.1 African oil palm ringspot virus, complete genome",7781
NC_012530.1,"NC_012530.1 Lactobacillus phage Lb338-1, complete genome",142111
NC_012531.1,"NC_012531.1 Solenopsis invicta virus 3, complete genome",10411
NC_012532.1,"NC_012532.1 Zika virus strain MR 766, complete genome",10794
NC_012533.1,"NC_012533.1 Kedougou virus strain DakAar D1470, complete genome",10723
NC_012534.1,"NC_012534.1 Bagaza virus strain DakAr B209, complete genome",10941
NC_012535.1,"NC_012535.1 Homalodisca vitripennis reovirus segment S1, complete genome",4475
NC_012536.1,"NC_012536.1 Homalodisca vitripennis reovirus segment S2, complete genome",3522
NC_012537.1,"NC_012537.1 Homalodisca vitripennis reovirus segment S3, complete genome",3180
NC_012538.1,"NC_012538.1 Homalodisca vitripennis reovirus segment S4, complete genome",2559
NC_012539.1,"NC_012539.1 Homalodisca vitripennis reovirus segment S5, complete genome",2521
NC_012540.1,"NC_012540.1 Homalodisca vitripennis reovirus segment S6, complete genome",1665
NC_012541.1,"NC_012541.1 Homalodisca vitripennis reovirus segment S7, complete genome",1702
NC_012542.1,"NC_012542.1 Homalodisca vitripennis reovirus segment S8, complete genome",1434
NC_012543.1,"NC_012543.1 Homalodisca vitripennis reovirus segment S9, complete genome",1187
NC_012544.1,"NC_012544.1 Homalodisca vitripennis reovirus segment S10, complete genome",1205
NC_012545.1,"NC_012545.1 Homalodisca vitripennis reovirus segment S11, complete genome",1234
NC_012546.1,"NC_012546.1 Homalodisca vitripennis reovirus segment S12, complete genome",1040
NC_012553.1,"NC_012553.1 Euphorbia yellow mosaic virus DNA A, complete genome",2609
NC_012554.2,"NC_012554.2 Euphorbia yellow mosaic virus DNA B, complete genome",2578
NC_012557.1,"NC_012557.1 Ageratum leaf Cameroon betasatellite, complete genome",1389
NC_012558.1,"NC_012558.1 Halorubrum pleomorphic virus 1, complete genome",7048
NC_012561.1,"NC_012561.1 Highlands J virus, complete genome",11526
NC_012564.1,"NC_012564.1 Human bocavirus 3, complete genome",5242
NC_012584.1,"NC_012584.1 Murine adenovirus 3, complete genome",30570
NC_012585.1,"NC_012585.1 Thielaviopsis basicola mitovirus, complete genome",2896
NC_012635.1,"NC_012635.1 Enterobacteria phage RB51, complete genome",168394
NC_012636.1,"NC_012636.1 Aedes aegypti densovirus 2 strain 0814616, complete genome",3776
NC_012638.1,"NC_012638.1 Escherichia phage RB14, complete genome",165429
NC_012639.1,"NC_012639.1 Euproctis pseudoconspersa nucleopolyhedrovirus, complete genome",141291
NC_012662.1,"NC_012662.1 Vibrio phage VP93, complete genome",43931
NC_012663.1,"NC_012663.1 Lactococcus phage P087, complete genome",60074
NC_012664.1,"NC_012664.1 Eragrostis curvula streak virus, complete genome",2754
NC_012665.1,"NC_012665.1 Malvastrum yellow vein Baoshan virus DNA-A, complete genome",2743
NC_012666.1,"NC_012666.1 Emilia yellow vein virus-associated DNA beta, complete genome",1337
NC_012671.1,"NC_012671.1 Quang Binh virus, complete genome",10865
NC_012685.1,"NC_012685.1 Culex pipiens densovirus, complete genome",5759
NC_012696.1,"NC_012696.1 Roseophage EE36P1, complete genome",73325
NC_012697.1,"NC_012697.1 Roseophage DSS3P2, complete genome",74611
NC_012698.2,"NC_012698.2 Cassava brown streak virus, complete genome",8995
NC_012699.1,"NC_012699.1 Calicivirus pig/AB90/CAN, complete genome",6434
NC_012702.1,"NC_012702.1 Midway virus, complete genome",11752
NC_012703.1,"NC_012703.1 Nyamanini virus, complete genome",11631
NC_012728.1,"NC_012728.1 Sweetpotato badnavirus B, complete genome",7961
NC_012729.2,"NC_012729.2 Human bocavirus 4 NI strain HBoV4-NI-385, complete genome",5104
NC_012735.1,"NC_012735.1 Wesselsbron virus strain SAH177, complete genome",10814
NC_012740.1,"NC_012740.1 Enterobacteria phage JSE, complete genome",166418
NC_012741.1,"NC_012741.1 Enterobacteria phage JS10, complete genome",171451
NC_012742.1,"NC_012742.1 Xanthomonas phage phiL7, complete genome",44080
NC_012743.2,"NC_012743.2 Burkholderia phage BcepIL02, complete genome",62715
NC_012749.1,"NC_012749.1 Enterobacteria phage WV8, complete genome",88487
NC_012753.1,"NC_012753.1 Streptococcus phage 5093, complete genome",37184
NC_012754.1,"NC_012754.1 Stretch Lagoon orbivirus segment 1, complete genome",3933
NC_012755.1,"NC_012755.1 Stretch Lagoon orbivirus segment 2, complete genome",2792
NC_012756.1,"NC_012756.1 Streptococcus phage PH10, complete genome",31276
NC_012757.1,"NC_012757.1 Vibrio phage VEJphi, complete genome",6842
NC_012776.1,"NC_012776.1 Lujo virus segment S, complete genome",3189
NC_012777.1,"NC_012777.1 Lujo virus segment L, complete genome",7163
NC_012783.2,"NC_012783.2 Cercopithecine herpesvirus 5 strain 2715, complete genome",226205
NC_012784.1,"NC_012784.1 Staphylococcus phage phiPVL-CN125, complete genome",44492
NC_012786.1,"NC_012786.1 Passionfruit severe leaf distortion virus DNA-A, complete genome",2672
NC_012787.1,"NC_012787.1 Passionfruit severe leaf distortion virus DNA-B, complete genome",2644
NC_012788.1,"NC_012788.1 Mycobacterium phage Angel, complete genome",41441
NC_012789.1,"NC_012789.1 Tomato leaf curl Pakistan virus associated DNA 1, complete genome",1384
NC_012798.1,"NC_012798.1 Human cosavirus E1, complete genome",6580
NC_012799.1,"NC_012799.1 Triticum mosaic virus, complete genome",10282
NC_012800.1,"NC_012800.1 Cosavirus A strain HCoSV-A1 polyprotein gene, complete cds",7632
NC_012801.1,"NC_012801.1 Human cosavirus B1, complete genome",7205
NC_012802.1,"NC_012802.1 Human cosavirus D1, complete genome",7215
NC_012805.1,"NC_012805.1 Coleus blumei viroid 6, complete genome",342
NC_012812.1,"NC_012812.1 Bovine viral diarrhea virus 3 Th/04_KhonKaen, complete genome",12337
NC_012868.1,"NC_012868.1 Enterobacteria phage St-1, complete genome",6094
NC_012869.1,"NC_012869.1 Hydrangea chlorotic mottle virus, complete genome",8433
NC_012884.1,"NC_012884.1 Streptococcus phage M102, complete genome",31147
NC_012909.1,"NC_012909.1 Lettuce chlorosis virus RNA1, complete genome",8591
NC_012910.1,"NC_012910.1 Lettuce chlorosis virus RNA2, complete genome",8556
NC_012931.1,"NC_012931.1 Wheat yellow dwarf virus-GPV, complete genome",5673
NC_012932.1,"NC_012932.1 Aedes flavivirus genomic RNA, complete genome, strain: Narita-21",11064
NC_012936.1,"NC_012936.1 Rat coronavirus Parker, complete genome",31250
NC_012957.1,"NC_012957.1 Salivirus NG-J1, complete genome",7982
NC_012958.1,"NC_012958.1 Drosophila A virus, complete genome",4806
NC_012959.1,"NC_012959.1 Human adenovirus 54, complete genome",34920
NC_012986.1,"NC_012986.1 Salivirus A isolate 02394-01, complete genome",7989
NC_013006.1,"NC_013006.1 Kalanchoe latent virus, complete genome",8517
NC_013007.1,"NC_013007.1 Carrot yellow leaf virus, complete genome",16354
NC_013011.1,"NC_013011.1 Gossypium davidsonii symptomless alphasatellite DNA-alpha-B, complete genome",1315
NC_013014.1,"NC_013014.1 Sclerotinia sclerotiorum partitivirus S segment 1, complete genome",1874
NC_013015.1,"NC_013015.1 Sclerotinia sclerotiorum partitivirus S segment 2, complete genome",1852
NC_013017.1,"NC_013017.1 Okra leaf curl virus-[Cameroon], complete genome",2386
NC_013018.1,"NC_013018.1 Circovirus-like genome SAR-B, complete genome",1833
NC_013019.1,"NC_013019.1 Sunn hemp leaf distortion virus DNA-A, complete genome",2774
NC_013020.1,"NC_013020.1 Circovirus-like genome BBC-A, complete genome",1815
NC_013021.1,"NC_013021.1 Cyanophage PSS2, complete genome",107530
NC_013022.2,"NC_013022.2 Ipomoea yellow vein virus, complete genome",2791
NC_013023.1,"NC_013023.1 Circovirus-like genome RW-A, complete genome",2162
NC_013024.1,"NC_013024.1 Circovirus-like genome RW-B, complete genome",2819
NC_013025.1,"NC_013025.1 Circovirus-like genome RW-C, complete genome",1803
NC_013026.1,"NC_013026.1 Circovirus-like genome RW-D, complete genome",2072
NC_013027.1,"NC_013027.1 Circovirus-like genome RW-E, complete genome",2782
NC_013028.1,"NC_013028.1 Circovirus-like genome CB-A, complete genome",2160
NC_013029.1,"NC_013029.1 Circovirus-like genome CB-B, complete genome",2757
NC_013030.2,"NC_013030.2 Circovirus-like genome SAR-A, complete genome",1739
NC_013035.1,"NC_013035.1 Human papillomavirus 116, complete genome",7184
NC_013036.1,"NC_013036.1 Anatid herpesvirus 1, complete genome",158091
